sgrna inf_mu_perc count
gene_0.4_17_0_g1_0 -13.1974723341201 2
gene_0.4_17_0_g2_0 -12.609685669218 4
gene_0.4_17_0_g3_0 -14.8069102465542 0
gene_0.4_17_0_g4_0 -11.372923042069 15
gene_0.4_18_0_g1_0 -14.8069102465542 0
gene_0.4_18_0_g2_0 -10.6637755201627 31
gene_0.4_18_0_g3_0 -12.8610000974989 3
gene_0.4_18_0_g4_0 -12.8610000974989 3
gene_0.4_19_0_g1_0 -14.8069102465542 0
gene_0.4_19_0_g2_0 -12.2419608890927 6
gene_0.4_19_0_g3_0 -12.8610000974989 3
gene_0.4_19_0_g4_0 -13.1974723341201 2
gene_0.4_20_0_g1_0 -13.1974723341201 2
gene_0.4_20_0_g2_0 -12.098860045452 7
gene_0.4_20_0_g3_0 -12.609685669218 4
gene_0.4_20_0_g4_0 -9.60841321528836 90
gene_1_1_0_g1_0 -13.1974723341201 2
gene_1_1_0_g2_0 -12.8610000974989 3
gene_1_1_0_g3_0 -14.8069102465542 0
gene_1_1_0_g4_0 -13.1974723341201 2
gene_1_2_0_g1_0 -13.7082979578861 1
gene_1_2_0_g2_0 -11.8624712673877 9
gene_1_2_0_g3_0 -13.7082979578861 1
gene_1_2_0_g4_0 -12.609685669218 4
gene_1_3_0_g1_0 -14.8069102465542 0
gene_1_3_0_g2_0 -14.8069102465542 0
gene_1_3_0_g3_0 -13.1974723341201 2
gene_1_3_0_g4_0 -11.2515621850648 17
gene_1_4_0_g1_0 -11.1433486004245 19
gene_1_4_0_g2_0 -10.6637755201627 31
gene_1_4_0_g3_0 -13.7082979578861 1
gene_1_4_0_g4_0 -10.8366183330021 26
gene_1_5_0_g1_0 -12.2419608890927 6
gene_1_5_0_g2_0 -13.7082979578861 1
gene_1_5_0_g3_0 -14.8069102465542 0
gene_1_5_0_g4_0 -14.8069102465542 0

