sgrna gene init_Sample_1 dep_Sample_1 init_Sample_2 dep_Sample_2 init_Sample_3 dep_Sample_3 init_Sample_4 dep_Sample_4 init_Sample_5 dep_Sample_5 init_Sample_6 dep_Sample_6
gene_0.5_5_0_g1_0 gene_0.5_5_0 1432 775 1579 870 1725 719 1531 821 1503 819 1513 854
gene_0.5_5_0_g2_0 gene_0.5_5_0 0 0 0 0 0 0 0 0 0 0 141 6
gene_0.5_5_0_g3_0 gene_0.5_5_0 0 0 0 0 0 0 7 0 0 8 0 0
gene_0.5_5_0_g4_0 gene_0.5_5_0 138 142 229 103 244 99 217 155 228 138 259 80
gene_0.5_6_0_g1_0 gene_0.5_6_0 91 127 42 8 20 0 102 0 36 0 115 177
gene_0.5_6_0_g2_0 gene_0.5_6_0 199 70 157 36 14 122 81 12 19 25 97 84
gene_0.5_6_0_g3_0 gene_0.5_6_0 234 100 150 11 177 56 123 2 164 58 189 183
gene_0.5_6_0_g4_0 gene_0.5_6_0 216 95 177 72 208 65 259 61 276 227 178 107
gene_0.5_7_0_g1_0 gene_0.5_7_0 257 200 309 195 337 121 231 143 257 159 289 107
gene_0.5_7_0_g2_0 gene_0.5_7_0 630 302 628 369 700 378 617 297 728 341 628 353
gene_0.5_7_0_g3_0 gene_0.5_7_0 15 0 16 15 43 222 24 27 14 6 2 0
gene_0.5_7_0_g4_0 gene_0.5_7_0 217 13 182 70 105 124 93 141 154 8 188 43
gene_0.5_8_0_g1_0 gene_0.5_8_0 930 542 982 551 998 501 958 553 915 462 1011 467
gene_0.5_8_0_g2_0 gene_0.5_8_0 24 4 48 23 87 3 185 10 52 0 136 105
gene_0.5_8_0_g3_0 gene_0.5_8_0 66 1 0 0 88 1 12 89 95 1 53 0
gene_0.5_8_0_g4_0 gene_0.5_8_0 194 144 130 70 229 142 160 39 236 153 96 141
gene_0.5_9_0_g1_0 gene_0.5_9_0 222 244 59 2 122 33 20 0 9 0 248 42
gene_0.5_9_0_g2_0 gene_0.5_9_0 0 0 1 0 0 0 0 0 69 0 0 0
gene_0.5_9_0_g3_0 gene_0.5_9_0 55 3 77 21 0 0 0 1 127 91 0 0
gene_0.5_9_0_g4_0 gene_0.5_9_0 92 45 131 81 133 181 154 9 86 79 78 23
gene_0.5_10_0_g1_0 gene_0.5_10_0 267 69 273 161 182 113 245 94 199 81 185 141
gene_0.5_10_0_g2_0 gene_0.5_10_0 1150 637 1098 612 1245 699 1199 632 1109 630 1135 665
gene_0.5_10_0_g3_0 gene_0.5_10_0 75 0 11 0 140 59 30 1 77 21 53 16
gene_0.5_10_0_g4_0 gene_0.5_10_0 677 276 557 314 687 270 584 248 603 331 630 369
gene_0.5_11_0_g1_0 gene_0.5_11_0 139 19 110 135 160 64 70 107 115 3 203 115
gene_0.5_11_0_g2_0 gene_0.5_11_0 110 32 64 0 74 33 30 39 1 1 5 6
gene_0.5_11_0_g3_0 gene_0.5_11_0 128 154 116 51 237 55 219 47 111 195 345 59
gene_0.5_11_0_g4_0 gene_0.5_11_0 0 0 24 0 0 0 1 173 0 0 1176 0
gene_0.5_12_0_g1_0 gene_0.5_12_0 592 326 597 242 519 340 633 266 647 300 619 294
gene_0.5_12_0_g2_0 gene_0.5_12_0 127 59 160 99 145 40 190 71 119 95 141 7
gene_0.5_12_0_g3_0 gene_0.5_12_0 0 0 0 0 0 0 0 0 0 0 0 0
gene_0.5_12_0_g4_0 gene_0.5_12_0 0 0 47 0 0 0 0 0 4 0 0 0
gene_0.5_13_0_g1_0 gene_0.5_13_0 0 0 0 0 0 0 0 0 96 49 7 0
gene_0.5_13_0_g2_0 gene_0.5_13_0 28 0 2 0 0 0 0 0 0 0 0 0
gene_0.5_13_0_g3_0 gene_0.5_13_0 1928 1055 1895 1078 1987 942 1850 1005 1957 1002 1957 1007
gene_0.5_13_0_g4_0 gene_0.5_13_0 227 43 211 58 104 42 106 77 124 25 136 113
gene_0.5_14_0_g1_0 gene_0.5_14_0 126 153 171 51 192 21 151 50 130 48 146 121
gene_0.5_14_0_g2_0 gene_0.5_14_0 25 30 51 12 139 11 107 1 62 0 52 1
gene_0.5_14_0_g3_0 gene_0.5_14_0 711 310 664 388 629 423 688 381 776 322 636 425
gene_0.5_14_0_g4_0 gene_0.5_14_0 0 0 60 17 150 2 3 0 0 0 0 0
gene_0.5_15_0_g1_0 gene_0.5_15_0 0 1 0 0 67 183 0 0 17 33 0 0
gene_0.5_15_0_g2_0 gene_0.5_15_0 176 112 101 180 183 71 90 15 161 46 132 30
gene_0.5_15_0_g3_0 gene_0.5_15_0 616 239 636 507 690 282 756 433 589 333 618 340
gene_0.5_15_0_g4_0 gene_0.5_15_0 0 4 89 0 130 8 0 0 0 0 0 0
gene_0.5_16_0_g1_0 gene_0.5_16_0 0 0 20 456 0 35 15 10 13 0 1 0
gene_0.5_16_0_g2_0 gene_0.5_16_0 25 2 173 27 0 0 98 0 155 3 140 35
gene_0.5_16_0_g3_0 gene_0.5_16_0 52 107 64 37 9 0 0 0 0 0 0 0
gene_0.5_16_0_g4_0 gene_0.5_16_0 376 167 396 282 362 193 345 213 331 324 336 166
gene_0.5_17_0_g1_0 gene_0.5_17_0 0 40 0 0 66 0 0 0 0 0 70 1
gene_0.5_17_0_g2_0 gene_0.5_17_0 46 126 79 77 123 145 182 105 154 133 169 89
gene_0.5_17_0_g3_0 gene_0.5_17_0 248 0 0 0 0 0 35 115 123 0 0 0
gene_0.5_17_0_g4_0 gene_0.5_17_0 320 114 152 110 139 34 134 88 190 63 301 33
gene_0.5_18_0_g1_0 gene_0.5_18_0 169 71 61 48 233 102 198 211 122 158 64 130
gene_0.5_18_0_g2_0 gene_0.5_18_0 46 43 120 9 119 35 57 25 75 133 55 37
gene_0.5_18_0_g3_0 gene_0.5_18_0 90 210 179 116 301 136 319 89 217 75 81 111
gene_0.5_18_0_g4_0 gene_0.5_18_0 131 73 86 7 106 90 188 18 115 61 150 28
gene_0.5_19_0_g1_0 gene_0.5_19_0 123 39 150 90 103 54 156 32 132 104 256 135
gene_0.5_19_0_g2_0 gene_0.5_19_0 159 42 125 53 58 118 61 24 118 52 54 9
gene_0.5_19_0_g3_0 gene_0.5_19_0 42 0 1 0 0 0 0 0 12 21 1 0
gene_0.5_19_0_g4_0 gene_0.5_19_0 107 58 66 39 14 0 166 1 96 25 85 67
gene_0.5_20_0_g1_0 gene_0.5_20_0 142 80 124 84 155 204 106 99 163 105 161 75
gene_0.5_20_0_g2_0 gene_0.5_20_0 424 198 381 335 304 302 363 298 492 230 319 270
gene_0.5_20_0_g3_0 gene_0.5_20_0 47 0 27 35 0 0 0 0 0 0 0 0
gene_0.5_20_0_g4_0 gene_0.5_20_0 146 3 107 3 90 143 100 46 128 11 71 1
gene_0.4_1_0_g1_0 gene_0.4_1_0 305 155 136 12 154 26 219 229 153 108 125 157
gene_0.4_1_0_g2_0 gene_0.4_1_0 0 0 0 0 0 0 0 0 0 0 144 154
gene_0.4_1_0_g3_0 gene_0.4_1_0 42 0 0 0 0 0 0 0 55 54 0 39
gene_0.4_1_0_g4_0 gene_0.4_1_0 617 196 566 248 670 181 559 537 685 729 563 666
gene_0.4_2_0_g1_0 gene_0.4_2_0 0 0 0 0 0 0 204 216 0 136 0 3
gene_0.4_2_0_g2_0 gene_0.4_2_0 131 10 0 0 0 0 0 0 0 0 0 0
gene_0.4_2_0_g3_0 gene_0.4_2_0 0 0 74 59 62 15 205 165 0 0 44 31
gene_0.4_2_0_g4_0 gene_0.4_2_0 114 73 2 5 46 0 117 171 10 0 128 121
gene_0.4_3_0_g1_0 gene_0.4_3_0 589 265 661 254 626 266 650 634 748 802 663 746
gene_0.4_3_0_g2_0 gene_0.4_3_0 93 0 0 0 8 0 0 0 0 0 0 0
gene_0.4_3_0_g3_0 gene_0.4_3_0 143 60 141 29 97 3 3 58 97 72 19 0
gene_0.4_3_0_g4_0 gene_0.4_3_0 156 59 148 84 170 114 201 305 232 158 266 217
gene_0.4_4_0_g1_0 gene_0.4_4_0 255 32 86 18 104 5 244 163 156 334 192 183
gene_0.4_4_0_g2_0 gene_0.4_4_0 143 0 71 10 95 93 77 170 9 111 100 17
gene_0.4_4_0_g3_0 gene_0.4_4_0 1 2 34 15 19 0 0 1 1 27 0 0
gene_0.4_4_0_g4_0 gene_0.4_4_0 0 0 0 0 91 86 12 83 0 0 34 0
gene_0.4_5_0_g1_0 gene_0.4_5_0 2088 865 1968 821 2009 887 2041 2122 1997 2158 2010 2075
gene_0.4_5_0_g2_0 gene_0.4_5_0 148 108 76 2 154 10 163 79 124 227 174 54
gene_0.4_5_0_g3_0 gene_0.4_5_0 118 2 58 40 30 36 86 53 33 77 16 99
gene_0.4_5_0_g4_0 gene_0.4_5_0 0 0 60 5 0 0 22 36 8 11 0 0
gene_0.4_6_0_g1_0 gene_0.4_6_0 401 186 290 117 269 211 310 280 364 322 344 437
gene_0.4_6_0_g2_0 gene_0.4_6_0 2070 874 2126 847 2047 980 2164 2225 2138 2253 1999 2257
gene_0.4_6_0_g3_0 gene_0.4_6_0 904 358 883 385 947 410 856 854 871 962 786 905
gene_0.4_6_0_g4_0 gene_0.4_6_0 54 0 53 26 128 5 65 80 105 134 268 142
gene_0.4_7_0_g1_0 gene_0.4_7_0 346 129 413 195 399 87 310 440 358 436 493 586
gene_0.4_7_0_g2_0 gene_0.4_7_0 38 6 47 40 0 2 0 0 34 2 24 38
gene_0.4_7_0_g3_0 gene_0.4_7_0 22 93 0 0 0 0 0 0 0 0 171 0
gene_0.4_7_0_g4_0 gene_0.4_7_0 209 66 221 340 318 165 264 227 234 367 242 394
gene_0.4_8_0_g1_0 gene_0.4_8_0 37 1 0 0 0 0 0 0 40 50 0 5
gene_0.4_8_0_g2_0 gene_0.4_8_0 0 0 0 0 0 0 0 0 88 117 0 0
gene_0.4_8_0_g3_0 gene_0.4_8_0 743 302 734 325 746 233 734 777 687 669 840 725
gene_0.4_8_0_g4_0 gene_0.4_8_0 4 1 19 0 30 65 60 26 65 142 171 68
gene_0.4_9_0_g1_0 gene_0.4_9_0 32 0 92 9 75 0 33 161 38 101 162 96
gene_0.4_9_0_g2_0 gene_0.4_9_0 13 85 38 10 60 0 43 166 120 166 19 8
gene_0.4_9_0_g3_0 gene_0.4_9_0 145 61 119 84 132 123 208 193 173 225 205 148
gene_0.4_9_0_g4_0 gene_0.4_9_0 838 256 912 334 848 239 903 873 850 969 825 947
gene_0.4_10_0_g1_0 gene_0.4_10_0 287 53 192 132 219 48 424 163 109 134 123 185
gene_0.4_10_0_g2_0 gene_0.4_10_0 0 0 0 0 61 1 0 0 0 0 0 0
gene_0.4_10_0_g3_0 gene_0.4_10_0 16 0 0 0 0 0 0 0 0 0 0 0
gene_0.4_10_0_g4_0 gene_0.4_10_0 11 45 106 8 3 135 76 44 83 83 145 201
gene_0.4_11_0_g1_0 gene_0.4_11_0 42 53 220 57 258 56 196 275 140 184 217 162
gene_0.4_11_0_g2_0 gene_0.4_11_0 2768 1157 2744 1171 2834 1187 2791 3044 2730 2965 2894 3007
gene_0.4_11_0_g3_0 gene_0.4_11_0 64 21 150 95 122 14 192 72 54 131 148 121
gene_0.4_11_0_g4_0 gene_0.4_11_0 10 0 142 6 67 13 0 8 47 37 131 40
gene_0.4_12_0_g1_0 gene_0.4_12_0 333 87 452 107 186 109 181 228 229 322 337 306
gene_0.4_12_0_g2_0 gene_0.4_12_0 397 140 325 171 321 57 385 456 332 303 336 489
gene_0.4_12_0_g3_0 gene_0.4_12_0 284 174 335 121 383 157 240 285 406 403 358 234
gene_0.4_12_0_g4_0 gene_0.4_12_0 237 61 271 140 226 210 204 133 220 258 107 191
gene_0.4_13_0_g1_0 gene_0.4_13_0 146 57 202 58 327 156 168 167 123 196 113 142
gene_0.4_13_0_g2_0 gene_0.4_13_0 361 106 311 87 299 107 308 395 309 280 226 337
gene_0.4_13_0_g3_0 gene_0.4_13_0 122 32 230 187 236 25 188 269 170 216 250 271
gene_0.4_13_0_g4_0 gene_0.4_13_0 168 5 38 62 32 0 94 82 69 140 12 36
gene_0.4_14_0_g1_0 gene_0.4_14_0 424 110 363 86 263 80 429 332 308 395 419 358
gene_0.4_14_0_g2_0 gene_0.4_14_0 53 4 165 1 206 52 66 106 34 86 172 205
gene_0.4_14_0_g3_0 gene_0.4_14_0 62 15 85 111 139 24 179 192 109 89 185 173
gene_0.4_14_0_g4_0 gene_0.4_14_0 210 41 167 31 197 16 187 53 78 112 141 221
gene_0.4_15_0_g1_0 gene_0.4_15_0 0 0 23 0 0 0 0 32 48 28 0 0
gene_0.4_15_0_g2_0 gene_0.4_15_0 709 310 870 318 650 329 738 658 770 787 740 770
gene_0.4_15_0_g3_0 gene_0.4_15_0 0 0 192 3 0 0 0 0 0 0 0 0
gene_0.4_15_0_g4_0 gene_0.4_15_0 375 103 330 109 431 215 337 355 386 413 495 437
gene_0.4_16_0_g1_0 gene_0.4_16_0 124 63 141 12 166 11 174 219 136 223 85 119
gene_0.4_16_0_g2_0 gene_0.4_16_0 126 39 88 139 202 0 23 21 197 145 0 2
gene_0.4_16_0_g3_0 gene_0.4_16_0 96 0 251 146 69 100 102 78 122 92 179 72
gene_0.4_16_0_g4_0 gene_0.4_16_0 0 0 0 0 0 0 0 0 0 0 0 0
gene_0.4_17_0_g1_0 gene_0.4_17_0 114 84 150 12 99 64 53 191 147 108 166 116
gene_0.4_17_0_g2_0 gene_0.4_17_0 238 41 279 81 184 102 332 315 291 296 231 260
gene_0.4_17_0_g3_0 gene_0.4_17_0 0 0 1 0 164 114 0 0 4 88 2 2
gene_0.4_17_0_g4_0 gene_0.4_17_0 693 412 783 293 848 305 743 788 773 885 693 734
gene_0.4_18_0_g1_0 gene_0.4_18_0 0 0 9 0 0 0 0 0 12 10 0 0
gene_0.4_18_0_g2_0 gene_0.4_18_0 1532 698 1503 607 1475 593 1585 1492 1553 1516 1494 1581
gene_0.4_18_0_g3_0 gene_0.4_18_0 203 82 224 34 197 34 127 132 218 194 88 192
gene_0.4_18_0_g4_0 gene_0.4_18_0 104 35 228 84 171 38 195 195 270 186 160 194
gene_0.4_19_0_g1_0 gene_0.4_19_0 10 0 38 1 24 0 0 0 0 0 76 9
gene_0.4_19_0_g2_0 gene_0.4_19_0 266 119 217 268 224 90 207 342 328 427 366 328
gene_0.4_19_0_g3_0 gene_0.4_19_0 86 62 193 42 83 39 183 216 175 76 187 256
gene_0.4_19_0_g4_0 gene_0.4_19_0 35 22 143 73 125 6 133 178 94 250 254 122
gene_0.4_20_0_g1_0 gene_0.4_20_0 100 48 155 26 172 9 84 88 184 174 99 26
gene_0.4_20_0_g2_0 gene_0.4_20_0 420 278 293 112 445 102 268 352 313 226 368 532
gene_0.4_20_0_g3_0 gene_0.4_20_0 310 59 281 57 173 46 251 185 235 217 268 201
gene_0.4_20_0_g4_0 gene_0.4_20_0 4329 1858 4332 1817 4298 1817 4366 4695 4305 4544 4319 4378
